happiness,familylife,finances,employment,housing,support,healthwellness,hwfrequency,socialgroup,socialgroupfrequency,serviceorganization,sorganizationfrequency,lonelinessfrequency,companionship,leftout,isolated,lonely,discuss,neighbors,family,friends,familyinperson,familyoverphone,familyoversocialmedia,friendsinperson,friendsoverphone,friendsoversocialmedia,problem,publicorindividual,government,individuals,nonprofits,churches,factors,movingaway,governmentcuts,technology,agingparents,unemployment,internet,socialmedia,socialmediafrequency,socialmediahours,lookingorengaging,connections,lonelinessandsocialmedia,onlinevsphone,onlinevsinperson,recommendinternet,spendtime,bigproblem,cause,continuous,lengthlonely,impactpersonalrelationships,impactjob,impactphysicalhealth,impactmentalhealth,talkfriend,visitpublic,counselor,exercise,drugs,cigarettes,overeat,past,browse,distract,talk,doctor,closefriend,familymember,mentalhealthprofessional,advisor,helpful,whototalkto,problemnotbad,havetime,energy,handleonyourown,afford,violentact,harmingyourself
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,No, ,No, ,Yes,Once or twice a month,"Rarely, or","Rarely, or","Rarely, or","Rarely, or",Not Lonely,5,Somewhat satisfied,Very satisfied,Very satisfied,A few times a month,A few times a week,A few times a week,Every day,A few times a week,Every day,A lot,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Strengthened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A lot,No, ,Yes,Several times a week,No, ,Sometimes,"Rarely, or","Rarely, or","Rarely, or",Not Lonely,7,Very satisfied,Very satisfied,Very satisfied,A few times a week,Every day,Every day,A few times a week,A few times a week,A few times a week,Some,More of a public health problem,Minor role,Major role,Major role,Major role,Both equally/It depends (Vol.),Major reason,Major reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Strengthened,No impact (Vol.),Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Very dissatisfied,Somewhat satisfied,Very dissatisfied,Just a few,No, ,No, ,No, ,Sometimes,"Rarely, or",Always,Often,Lonely,30,Somewhat satisfied,Very satisfied,Somewhat satisfied,Less than that,Every day,Every day,A few times a week,Every day,Every day,Nothing at all,More of an individual problem,No role at all,Major role,Major role,Minor role,Both equally/It depends (Vol.),Minor reason,Not a reason,Minor reason,Major reason,Major reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Weakened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Harder,Isn't really a problem,No specific cause for feelings of loneliness,Loneliness comes and goes,Less than 6 months,No impact,Somewhat negative,Somewhat negative,Somewhat negative,Never,Never,Never,Never,Sometimes,Rarely,Never,Never,Almost always,Sometimes,Yes,No,Yes,Yes,No,Yes,Somewhat helpful, , , , , , ,No,No
Very happy,Very satisfied,Somewhat dissatisfied,Very satisfied,Very satisfied,A fair amount,Yes,About once a week,Yes,Once or twice a month,No, ,Sometimes,Often,"Rarely, or",Never,Lonely,6,Very satisfied,Very satisfied,Very satisfied,Every day,A few times a week,Never (Vol.),Every day,A few times a week,Less than that,Only a little,More of a public health problem,Major role,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Minor reason,Major reason,Major reason,No,No, , , , , , , ,"Yes, would recommend",Easier,Minor problem,Mental health issues,Loneliness comes and goes,More than ten year,Very positive,No impact,Very positive,Very positive,Almost always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Rarely,Never,Rarely,Yes,Yes,Yes,Yes,Yes,Yes,Very helpful, , , , , , ,No,No
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A lot,Yes,Several times a week,No, ,No, ,Never,Never,"Rarely, or",Never,Not Lonely,6,Somewhat dissatisfied,Somewhat satisfied,Very satisfied,A few times a week,Every day,Every day,A few times a month,A few times a week,A few times a week,Only a little,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Minor reason,Major reason,Minor reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Strengthened,Never have feelings of loneliness (Vol.),Less satisfied,Less satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,Yes,Several times a week,Yes,About once a week,No, ,Never,Never,Never,"Rarely, or",Not Lonely,6,Somewhat satisfied,Very satisfied,Very satisfied,Every day,Every day,Every day,Every day,A few times a week,Every day,Nothing at all,More of an individual problem,Minor role,Major role,Minor role,No role at all,Due to factors and circumstances beyond their control,Minor reason,Not a reason,Not a reason,Major reason,Minor reason,Yes,Yes,Every day,At least an hour but less than 2 hours,Looking at what other people are doing,Strengthened,No impact (Vol.),Equally satisfied,Less satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Declined to answer,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Just a few,No, ,No, ,No, ,Often,Sometimes,Sometimes,Often,Lonely,4,Very satisfied,Somewhat dissatisfied,Very satisfied,A few times a week,Every day,Every day,Every day,Every day,Every day,A lot,More of an individual problem,No role at all,Major role,Minor role,Minor role,Mostly have themselves to blame,Major reason,Not a reason,Major reason,Major reason,Minor reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Both/Neither (Vol.),Better,Equally satisfied,Less satisfied,"No, would not recommend",Harder,Isn't really a problem,Divorce/separation from significant other,Loneliness comes and goes,One to two years,Somewhat negative,No impact,Somewhat negative,Somewhat negative,Almost always,Never,Never,Sometimes,Almost always,Almost always,Almost always,Rarely,Almost always,Rarely,Yes,No,Yes,Yes,No,No,Very helpful, , , , , , ,No,No
Not too happy,Somewhat satisfied,Very dissatisfied,Somewhat satisfied,Very satisfied,Just a few,No, ,Yes,Several times a week,No, ,Always,Always,Always,Always,Lonely,5,Not applicable (Vol.),Somewhat satisfied,Somewhat satisfied,A few times a week,Every day,Every day,Every day,Every day,Every day,Nothing at all,More of a public health problem,Major role,Major role,Not sure,Minor role,Due to factors and circumstances beyond their control,Major reason,Not a reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,Less than half an hour,Looking at what other people are doing,Weakened,Worse,Equally satisfied,Less satisfied,"No, would not recommend",Harder,Major problem,No specific cause for feelings of loneliness,Loneliness comes and goes,One to two years,Very negative,Very negative,Very negative,Very negative,Never,Never,Never,Never,Almost always,Never,Almost always,Never,Almost always,Never,No, , , , , , ,Not a reason,Not a reason,Minor reason,Major reason,Not a reason,Major reason,No,Yes
Somewhat happy,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,No, ,No, ,Often,Often,Sometimes,Often,Lonely,3,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Less than that,A few times a year,A few times a year,A few times a week,A few times a week,Every day,Nothing at all,Not sure,No role at all,Major role,Minor role,No role at all,Both equally/It depends (Vol.),Minor reason,Minor reason,Minor reason,Major reason,Major reason,Yes,Yes,A few times a week,Less than half an hour,Looking at what other people are doing,Weakened,Worse,Equally satisfied,Less satisfied,"Yes, would recommend",Easier,Minor problem,No specific cause for feelings of loneliness,Continually lonely,More than ten year,Very negative,No impact,No impact,Somewhat negative,Sometimes,Never,Never,Rarely,Never,Sometimes,Almost always,Rarely,Almost always,Almost always,No, , , , , , ,Minor reason,Minor reason,Not a reason,Not a reason,Minor reason,Not a reason,No,Yes
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,5,Very satisfied,Very satisfied,Very satisfied,Every day,A few times a week,A few times a week,Every day,A few times a week,A few times a week,Nothing at all,More of an individual problem,No role at all,Major role,Minor role,Minor role,Mostly have themselves to blame,Not a reason,Not a reason,Minor reason,Major reason,Not a reason,Yes,Yes,Every day,More than half an hour but less than one hour,Looking at what other people are doing,Weakened,No impact (Vol.),Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,No one,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,10,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Less than that,Less than that,A few times a week,A few times a year,A few times a month,Every day,Only a little,Not sure,Major role,Major role,Major role,No role at all,Declined to answer,Minor reason,Major reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Strengthened,Never have feelings of loneliness (Vol.),More satisfied,More satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very dissatisfied,A lot,Yes,Several times a week,No, ,No, ,"Rarely, or",Never,"Rarely, or","Rarely, or",Not Lonely,15,Somewhat satisfied,Somewhat satisfied,Very satisfied,A few times a week,A few times a week,A few times a week,Every day,A few times a week,Every day,Some,More of a public health problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Minor reason,Minor reason,Minor reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Strengthened,Better,Equally satisfied,Equally satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A fair amount,No, ,No, ,No, ,"Rarely, or",Never,Never,Never,Not Lonely,5,Very satisfied,Very satisfied,Very satisfied,Every day,A few times a week,Every day,Every day,A few times a week,Every day,Only a little,More of an individual problem,Minor role,Major role,Major role,No role at all,Mostly have themselves to blame,Major reason,Minor reason,Major reason,Minor reason,Major reason,Yes,Yes,A few times a week,Less than half an hour,An equal mix of both,Weakened,Never have feelings of loneliness (Vol.),Equally satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Declined to answer,Very satisfied,A lot,No, ,Yes,Several times a week,No, ,Never,Never,Never,Never,Not Lonely,30,Very satisfied,Very satisfied,Very satisfied,Every day,A few times a week,Every day,A few times a week,A few times a week,A few times a week,Some,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Minor reason,Major reason,Major reason,Yes,Yes,Every day,Less than half an hour,An equal mix of both,Strengthened,Never have feelings of loneliness (Vol.),Equally satisfied,Equally satisfied,"Yes, would recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A fair amount,No, ,Yes,Several times a week,No, ,"Rarely, or","Rarely, or","Rarely, or","Rarely, or",Not Lonely,10,Somewhat dissatisfied,Very satisfied,Very satisfied,A few times a year,A few times a week,Every day,A few times a week,A few times a week,Every day,A lot,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Not a reason,Minor reason,Minor reason,Major reason,Yes,Yes,Every day,Less than half an hour,Engaging in conversations with other people,Strengthened,Better,Equally satisfied,Less satisfied,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Somewhat satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,A fair amount,Yes,Several times a week,No, ,No, ,Sometimes,Sometimes,"Rarely, or",Sometimes,Not Lonely,4,Somewhat satisfied,Somewhat satisfied,Very satisfied,A few times a month,A few times a week,Every day,Every day,A few times a week,Every day,Some,More of a public health problem,Minor role,Major role,Minor role,Minor role,Mostly have themselves to blame,Minor reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,A few times a week,More than half an hour but less than one hour,An equal mix of both,Weakened,Worse,Equally satisfied,More satisfied,"Yes, would recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very dissatisfied,Just a few,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,10,Somewhat satisfied,Very satisfied,Somewhat satisfied,A few times a month,A few times a month,A few times a month,A few times a month,A few times a year,A few times a month,A lot,More of a public health problem,Major role,Major role,Minor role,No role at all,Not sure,Not sure,Not a reason,Not a reason,Not sure,Not sure,Yes,Yes,Every day,2 hours or more,Looking at what other people are doing,Strengthened,Better,Equally satisfied,Equally satisfied,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,Yes,Several times a week,Yes,Once or twice a month,No, ,Never,Never,Never,Never,Not Lonely,6,Somewhat satisfied,Somewhat satisfied,Very satisfied,A few times a week,A few times a week,Every day,Every day,A few times a week,Every day,Only a little,More of an individual problem,No role at all,Minor role,Minor role,Not sure,Mostly have themselves to blame,Major reason,Minor reason,Major reason,Minor reason,Minor reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Strengthened,No impact (Vol.),Equally satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,A lot,Yes,Several times a week,No, ,No, ,"Rarely, or","Rarely, or",Never,Never,Not Lonely,7,Very satisfied,Very satisfied,Very satisfied,A few times a month,Every day,Every day,Every day,A few times a month,Every day,A lot,More of a public health problem,Major role,Major role,Major role,No role at all,Both equally/It depends (Vol.),Major reason,Major reason,Minor reason,Major reason,Major reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Strengthened,Better,Equally satisfied,Less satisfied,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
